County,Year,Month,Bird,Horse,Mosquito
rock island,2022,08,,,2.0
rock island,2022,09,,,2.0
st. clair,2018,06,,,3.0
st. clair,2018,07,,,5.0
st. clair,2018,08,,,5.0
st. clair,2018,09,,,5.0
st. clair,2019,06,,,1.0
st. clair,2019,08,,,2.0
st. clair,2021,07,,,1.0
st. clair,2021,08,,,1.0
st. clair,2022,07,,,2.0
saline,2018,08,,,1.0
saline,2018,09,,,1.0
sangamon,2018,07,,,2.0
sangamon,2018,08,,,1.0
sangamon,2018,09,,,4.0
sangamon,2018,10,,,1.0
sangamon,2019,07,,,1.0
sangamon,2019,08,,,1.0
sangamon,2020,10,,,1.0
sangamon,2021,08,,,1.0
sangamon,2021,09,,,1.0
sangamon,2021,10,,,1.0
sangamon,2022,09,1.0,,
scott,2018,07,,,1.0
scott,2018,08,,,2.0
scott,2018,09,,,2.0
scott,2019,07,,,1.0
stark,2018,08,,,2.0
stephenson,2018,07,,,3.0
stephenson,2018,08,1.0,,3.0
stephenson,2018,09,,,1.0
stephenson,2020,07,1.0,,
stephenson,2020,09,,,4.0
stephenson,2022,09,1.0,,1.0
tazewell,2018,08,,,2.0
tazewell,2019,09,,,2.0
tazewell,2021,09,2.0,,1.0
tazewell,2022,07,,,1.0
union,2018,07,,,1.0
union,2018,08,,,2.0
union,2018,09,,,1.0
vermilion,2021,07,1.0,,2.0
vermilion,2021,08,1.0,,1.0
vermilion,2022,08,,,1.0
vermilion,2022,09,1.0,,
warren,2019,06,,,4.0
warren,2019,07,,,15.0
warren,2019,08,,,2.0
washington,2018,09,,,3.0
washington,2020,08,,,4.0
washington,2021,08,,,1.0
washington,2022,06,,,1.0
wayne,2018,07,,1.0,1.0
wayne,2018,08,1.0,,4.0
wayne,2018,09,,1.0,2.0
wayne,2019,10,,1.0,
white,2018,08,,,2.0
white,2018,09,,,2.0
white,2019,08,,,2.0
whiteside,2018,06,,,2.0
whiteside,2018,07,,,1.0
whiteside,2018,08,,,2.0
whiteside,2019,09,,,1.0
whiteside,2022,08,,,1.0
will,2018,06,,,1.0
will,2018,07,,,32.0
will,2018,08,,,56.0
will,2018,09,,,11.0
will,2019,05,,,2.0
will,2019,06,,,1.0
will,2019,07,,,2.0
will,2019,08,,,4.0
will,2019,09,,,4.0
will,2020,08,,,11.0
will,2020,09,,,15.0
will,2021,07,,,4.0
will,2021,08,,,26.0
will,2021,09,,,1.0
will,2022,05,,,1.0
will,2022,07,,,2.0
will,2022,08,,,14.0
will,2022,09,,,1.0
williamson,2018,07,,,1.0
williamson,2018,08,,,1.0
williamson,2018,09,,,1.0
williamson,2019,09,,,1.0
winnebago,2018,07,1.0,,13.0
winnebago,2018,08,,,8.0
winnebago,2018,09,,,1.0
winnebago,2019,06,,,4.0
winnebago,2019,09,1.0,,
winnebago,2020,06,1.0,,
winnebago,2020,08,,,1.0
winnebago,2021,09,1.0,,
winnebago,2022,07,,,1.0
winnebago,2022,08,,,2.0
woodford,2019,05,1.0,,
